alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,bandwidth_scale,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,fisher_damping,cg_iters,cg_tol,state_weight_update,num_trajectories,max_steps,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0003,3e-05,0.01,1000,0.1,40,0.001,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,318.88955778199306,0.07,-0.8714878581504759,-1.296732675018629,3.997349578087371,0.16,-0.8115538428528041,-0.6593830381492003,2.6540510295717836,-4.750172496569996,-38.90981266701428,4.464859211593192,-2.4113260313110634,69.42449688928937,0.5930180353059759,14.27091582556227,4.2713230766236804e-05,51
0.0003,3e-05,0.01,1000,0.3,40,0.001,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,322.43514082201,0.07,-0.8714878581504759,-1.2967738654438492,3.9971934873360855,0.16,-0.8115538428528041,-0.6593830381492003,2.6540510295717836,-4.742012620847161,-38.87036356962393,4.461082205484223,-2.40856404103903,69.34700927612214,0.6121319997659386,14.238411850687688,9.675202232100271e-05,61
0.0003,3e-05,0.01,1000,0.1,40,0.001,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,245.16935483000998,0.06,-0.8771632832607827,-1.2896008256284226,3.982385944489015,0.16,-0.8115538428528041,-0.6593883184335185,2.6541150790739034,-5.156799820636561,-26.9026710562326,3.219161241761889,-2.6044671433004507,72.16357210239721,0.7304388501602987,10.701406075097614,3.8925516045005106e-05,7
0.0003,3e-05,0.01,1000,0.3,40,0.001,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,307.22775289400306,0.06,-0.8771632832607827,-1.2896605500657894,3.9822413492727216,0.16,-0.8115538428528041,-0.6593883184335185,2.6541150790739034,-5.149181592319115,-26.882045177659222,3.218040564595935,-2.602058595370794,72.09146225539851,0.7278527544042551,10.684480777291121,0.00010151002990152925,37
0.0003,3e-05,0.01,1000,0.1,20,0.001,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,310.9199910079915,0.06,-0.8771632832607827,-1.2895914866097726,3.9827387521294835,0.16,-0.8115538428528041,-0.6593883184335185,2.6541150790739034,-5.167812918375357,-26.92965779835888,3.2210052113247896,-2.6090834665271134,72.25187163084618,0.7338221663815881,10.711422354980071,0.00015988678262252506,41
0.0003,3e-05,0.01,1000,0.3,20,0.001,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,311.5873581610067,0.06,-0.8771632832607827,-1.2893234007699765,3.9814481261455206,0.16,-0.8115538428528041,-0.6593883184335185,2.6541150790739034,-5.140403777862119,-26.911303814691554,3.2243952782042427,-2.5958642449882725,72.0574560075643,0.696259829673681,10.703216330182363,0.00043863451935749037,42
0.0003,3e-05,0.01,1000,0.3,20,3e-08,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,269.0642176440015,0.06,-0.9259571397213564,-1.8837302419457103,4.389950681974955,0.12,-0.8777007736259386,-1.2614410631089499,4.254715220704003,252.49245492319668,3524.21411536709,3.6996715888395992,252.4461968253605,3849.7232509788705,99.79772282110643,381.1550964542823,1.594850722128975,12
0.0003,3e-05,0.01,1000,0.3,20,3e-06,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,327.055336963007,0.25,-0.8265270249523787,-1.4991461038855531,4.114971041731172,0.1,-0.9466225328024013,-3.907862004193033,6.526995850863103,27.0284617066294,-2479.45972141121,273.2719148448242,35.9583376428148,2467.1710449331986,32.696731959917884,359.40178162680206,0.06889012201702897,70
0.0003,3e-05,0.01,1000,0.3,20,1e-05,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,318.3804407139978,0.17,-0.8486218987606117,-1.6539052942256414,4.3311018840311775,0.09,-0.9436977366209157,-4.049363370502452,6.635497089785719,-9.931394090889121,2.0064243803975046,-5.354927444509091,-6.65807331697286,824.9169204033095,240.81725713080075,265.7143061701662,0.06987890048430727,49
0.0003,3e-05,0.01,1000,0.1,20,1e-05,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,342.20833375200164,0.14,-0.8673675633979816,-1.7598650586161515,4.571155852174525,0.09,-0.9415299088910913,-4.032354116785995,6.53327008303847,-3.6524096769286984,-74.78376774492531,10.509878358211216,-1.290946239968977,706.0418255738762,24.88756256535801,25.58167471491997,0.01051888493913503,88
