problem,beta_update,T,alpha,eta,rho,beta_projection_radius,theta_lambda,theta_lr,theta_inner_steps,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,dataset_path,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,num_trajectories,max_steps,seed,device,status,error,solver_success_rate,greedy_success_rate,solver_avg_reward,greedy_avg_reward,elapsed_seconds,run_idx
deterministic,fenchel_mirror,2000,0.001,0.01,0.05,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.75,1.0,0.6207999999999999,0.9300000000000002,773.292172752961,1053
deterministic,fogas_diag,4000,0.001,0.0003,0.2,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.74,1.0,0.6310999999999999,0.9300000000000002,1759.3397126769996,626
deterministic,fogas_diag,4000,0.001,0.0003,0.1,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.74,1.0,0.6307999999999998,0.9300000000000002,399.82107998704305,211
deterministic,fogas_diag,4000,0.001,0.0003,0.05,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.74,1.0,0.6306999999999998,0.9300000000000002,825.4045320950099,358
deterministic,fogas_diag,4000,0.001,0.0003,0.03,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.74,1.0,0.6306999999999998,0.9300000000000002,2444.9468963950058,1241
deterministic,fogas_diag,4000,0.001,0.0003,0.01,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.74,1.0,0.6306999999999998,0.9300000000000002,2484.0914960899972,1255
deterministic,fogas_diag,4000,0.001,0.001,0.1,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.74,1.0,0.6296999999999999,0.9300000000000002,468.85871125699487,266
deterministic,fogas_diag,4000,0.001,0.001,0.05,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.74,1.0,0.6294999999999998,0.9300000000000002,424.7882655209978,238
deterministic,fogas_diag,4000,0.001,0.001,0.01,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.74,1.0,0.6293,0.9300000000000002,544.0027094049728,279
deterministic,projected_gradient,2000,0.001,0.001,0.05,0.5,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.74,1.0,0.6108,0.9300000000000002,271.1892481460236,394
deterministic,projected_gradient,2000,0.001,0.001,0.05,2.0,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.74,1.0,0.6108,0.9300000000000002,298.7702378379763,401
deterministic,projected_gradient,2000,0.001,0.001,0.05,1.0,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.74,1.0,0.6108,0.9300000000000002,306.3834827829851,405
deterministic,projected_gradient,2000,0.001,0.001,0.05,10.0,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.74,1.0,0.6108,0.9300000000000002,384.5321641310002,412
deterministic,projected_gradient,2000,0.001,0.001,0.05,0.25,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.74,1.0,0.6108,0.9300000000000002,385.9024105910212,411
deterministic,projected_gradient,2000,0.001,0.001,0.05,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.74,1.0,0.6108,0.9300000000000002,388.5972435940057,410
deterministic,projected_gradient,2000,0.001,0.001,0.05,5.0,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.74,1.0,0.6108,0.9300000000000002,664.2345707360073,473
