alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_mode,theta_lambda,D_theta,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,intended_prob,dataset_path,num_trajectories,max_steps,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0005,0.0001,0.1,10000,0.003,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:4,ok,,77.9180021580105,0.92,-0.9528041805978572,-0.9640049681835317,0.22434357851266443,1.0,-0.82274123760695,-0.8227412376069501,0.0,-1.3741624691112388,13.6405521830177,-3.385358445396636,-1.1761419776948248,953.5025592343009,0.6783735539840682,0.7074605186089645,0.031220690699530994,1561
0.0005,3e-05,0.1,10000,0.003,20,projection,,1000.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:3,ok,,141.18212896200566,0.92,-0.9735230847222844,-0.980783684801766,0.2509066302700622,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.14558418153868846,0.6937146953443971,-1.3721147157233933,-0.02632848628597366,999.9999999999999,0.8165966033412845,0.8867375077227913,0.013063137002196825,148
0.0005,3e-05,1.0,10000,0.01,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:5,ok,,77.63289965799777,0.91,-0.9536754160088902,-0.9673899946433712,0.24366806375165667,1.0,-0.82274123760695,-0.8227412376069501,0.0,-2.4481955693414896,28.837986819238946,-8.706514761126273,-2.2599846439176456,1433.5121872478521,1.8477830758916034,1.8413211982145197,0.02652035614553742,862
0.0005,3e-05,0.5,10000,0.01,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:4,ok,,77.79193400100485,0.9,-0.9511140340006261,-0.9679458694967393,0.24133528348944666,1.0,-0.82274123760695,-0.8227412376069501,0.0,-2.9867936481015125,22.123973591030865,-9.211844604126158,-2.7836621188181474,2290.422154879623,2.447614013372505,1.9390515957867585,0.03254330435273736,501
0.0005,3e-05,2.0,10000,0.01,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:5,ok,,78.18710558699968,0.9,-0.9517453041285775,-0.9635728032769237,0.23020659913957334,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.08884268577325205,3.0841268926048233,-4.075518236164452,0.08444434589779065,1388.9497197267308,1.8015781099061476,1.5552143983070177,0.027335289069274512,1222
0.0005,3e-05,0.5,10000,0.01,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:5,ok,,78.8668591750029,0.9,-0.9564807020290635,-0.9638117569688816,0.2291690975171991,1.0,-0.82274123760695,-0.8227412376069501,0.0,-3.9412822455347465,34.677887462122406,-9.171466446361707,-3.7379892658386216,1484.8039269529813,1.843944538658783,2.025627974261898,0.029215747747919085,502
0.0005,3e-05,0.1,10000,0.003,20,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:0,ok,,126.32174453000334,0.9,-0.9602402298074586,-0.9716427327098799,0.2512380918010033,1.0,-0.82274123760695,-0.8227412376069501,0.0,3.6253354074461734,-84.52259852914128,4.973470259344633,3.8603216196541386,1995.2599222136926,1.3227199679996762,1.2835528416955524,0.0349610597018366,133
0.0005,3e-05,1.0,10000,0.003,20,projection,,1000.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:3,ok,,149.99555928599875,0.9,-0.9616200380799547,-0.9866305598194792,0.2599502928683489,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.126923633265274,-7.54153775146815,0.4743777722096514,-0.018258776708716895,1000.0000000000001,0.9187030599410696,0.9528750780103916,0.011374738252875653,868
0.0005,3e-05,0.1,10000,0.003,20,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:1,ok,,128.69606293200195,0.9,-0.9694318199042279,-0.9674961325021689,0.24261638977646427,1.0,-0.82274123760695,-0.8227412376069501,0.0,3.164694886514671,-86.75737237361899,4.166927188727452,3.405292876972751,1668.948338146704,1.4115049271284363,1.3492335299476235,0.03100389070213102,134
0.0005,3e-05,0.1,10000,0.003,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:4,ok,,80.46723850799754,0.9,-0.9781148149777014,-0.9958148847570794,0.2775675600607714,1.0,-0.82274123760695,-0.8227412376069501,0.0,5.649296663463554,-117.644278264191,12.061659533630733,5.852992092074875,1415.4988932625286,0.4745631634772302,1.0635551716731493,0.0248877259940008,121
