experiment_id,rank,episodes,learning_rate,eta,lambda_entropy,rollout_length,batch_size,scheduler_name,tau,hidden_size,rff_features,init_log_std,gamma,device,seconds,best_eval_return_mean,best_eval_return_std,best_eval_episode,final_eval_return_mean,final_eval_return_std,avg_reward,train_return_mean,train_return_recent_10_mean,last_objective,last_primal_mse,last_dual_mse,tail_objective_mean,tail_policy_grad_norm_mean
252,178,220,0.0001,0.1,0.001,1,10000,inverse_time_tau_5000,5000.0,64,100,-1.5,0.995,cuda:0,386.4458618164063,-896.1970138178374,237.05587893915225,190.0,-807.6347978871287,274.29484583222523,-807.6347978871287,-1243.9585969560756,-1269.732704609916,43.35396194458008,47.12858200073242,37.746212005615234,43.367253646850585,0.027300788462162
254,179,220,0.0001,0.1,0.001,1,20000,inverse_time_tau_5000,5000.0,64,100,-1.5,0.995,cuda:2,396.4056134223938,-896.214955159295,237.0294647709399,190.0,-807.6699111203203,274.22872358809605,-807.6699111203203,-1243.9574886137698,-1269.7348455531549,43.28668975830078,47.06642532348633,37.797340393066406,43.314648475646976,0.0267046098038554
542,180,330,0.0001,0.1,0.001,1,20000,inverse_time_tau_5000,5000.0,64,100,-1.5,0.995,cuda:2,973.460571050644,-896.214955159295,237.0294647709399,190.0,-807.7380761606759,274.04004955000204,-807.7380761606759,-1242.7741257900225,-1145.7743202985855,41.52083206176758,44.33335113525391,28.12517738342285,41.54486114501953,0.0185127604566514
435,181,330,0.0001,0.004,0.001,1,20000,inverse_time_tau_20000,20000.0,64,100,-1.5,0.995,cuda:3,790.6686134338379,-896.2360839110901,236.9455301164573,190.0,-807.4051648128303,274.6201113267136,-807.4051648128303,-1242.754944797155,-1145.6326272667034,41.468482971191406,41.47737503051758,2.222700357437134,41.49759525299072,0.0195519703626632
147,182,220,0.0001,0.004,0.001,1,20000,inverse_time_tau_20000,20000.0,64,100,-1.5,0.995,cuda:3,454.6492779254913,-896.2360839110901,236.9455301164573,190.0,-807.7009629377133,274.1344613834505,-807.7009629377133,-1243.8095576579224,-1270.003502471127,41.60513305664063,41.63442611694336,7.322936058044434,41.61475925445557,0.0283513743057847
217,183,220,0.0001,0.04,0.001,1,10000,inverse_time_tau_20000,20000.0,64,100,-1.5,0.995,cuda:1,405.0947325229645,-896.2445507011769,236.9414040705668,190.0,-807.6384131518208,274.2691020667676,-807.6384131518208,-1243.9194687343868,-1270.023396208088,43.043235778808594,43.55472946166992,12.787330627441406,43.07733516693115,0.0283786940202116
505,184,330,0.0001,0.04,0.001,1,10000,inverse_time_tau_20000,20000.0,64,100,-1.5,0.995,cuda:1,633.1299674510956,-896.2445507011769,236.9414040705668,190.0,-807.6520205035865,274.17593365509924,-807.6520205035865,-1242.840461018115,-1145.6315174485835,42.48714447021485,42.6099739074707,3.070767879486084,42.52098571777344,0.0198640627227723
433,185,330,0.0001,0.004,0.001,1,10000,inverse_time_tau_20000,20000.0,64,100,-1.5,0.995,cuda:1,606.0635907649994,-896.2592871405255,236.90879750128465,190.0,-807.4995665380528,274.4414851588131,-807.4995665380528,-1242.7542851272678,-1145.636368288507,41.494285583496094,41.50304412841797,2.1893413066864014,41.52306652069092,0.0201861565932631
145,186,220,0.0001,0.004,0.001,1,10000,inverse_time_tau_20000,20000.0,64,100,-1.5,0.995,cuda:1,398.8080122470856,-896.2592871405255,236.90879750128465,190.0,-807.790794760883,273.9633382319882,-807.790794760883,-1243.8087099697518,-1270.0030480384703,41.62398910522461,41.65311813354492,7.281877040863037,41.63348232269287,0.0288749446719884
219,187,220,0.0001,0.04,0.001,1,20000,inverse_time_tau_20000,20000.0,64,100,-1.5,0.995,cuda:3,714.4474782943726,-896.2617257739064,236.91720468421065,190.0,-807.6169704690556,274.3139809469013,-807.6169704690556,-1243.922738598112,-1270.0241648861386,42.87680816650391,43.39284133911133,12.900822639465332,42.88149745941162,0.0277326718345284
