alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,batch_size,hidden_sizes,beta_reg,theta_mode,theta_optimizer,theta_start_mode,beta_update,policy_optimizer,policy_gradient,nn_seed,seed,device,status,error,elapsed_seconds,greedy_mean_steps,greedy_success_rate,greedy_avg_env_return,solver_mean_steps,solver_success_rate,solver_avg_env_return,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
3e-05,1e-08,0.1,20000,0.0001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,940.6972139439895,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04648864085509,-13.591125240309522,-2.890226025053995,-36.97957274322676,198.48550426340128,2.9944690838996574e-05,38.98353536765191,0.4463948873565601,50
3e-05,1e-08,0.005,20000,0.0001,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,940.7401473120262,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04652771559024,-13.59175469687548,-2.8902651110745747,-36.979613874390296,99.71317823251343,2.9376609297878967e-05,38.98561553495798,0.4463871021079905,4
3e-05,1e-08,0.1,20000,0.0003,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,940.8030106700025,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86445611463907,-47.2775079217366,-7.708131793380276,-109.80476201385738,415.68148553971747,7.524212421424815e-05,111.15157529694446,0.4431831094476101,57
3e-05,1e-08,0.02,20000,0.0001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,940.895211976982,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04658287252287,-13.590926274190867,-2.890320256809622,-36.97966632996595,149.30918914465832,2.9895607866239895e-05,38.98457429302159,0.44639593589164656,28
3e-05,1e-08,0.1,20000,0.001,10,1e-10,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,940.9238569309819,200.0,0.0,-200.0,200.0,0.0,-200.0,-345.69022587735316,-298.98179807383286,-5.535112149918036,-345.67687878542364,909.6991741107355,0.2745144064393986,551.1829245148934,0.420784048594933,67
3e-05,1e-08,0.5,20000,0.0003,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,940.9943733710097,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86318821263933,-47.282503510136706,-7.706863892706838,-109.80349953817927,303.91079800289424,7.56734545882531e-05,111.1249459293405,0.4431777603259262,84
3e-05,1e-08,0.005,20000,0.0003,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,941.2009620619938,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86472743350147,-47.279579281596455,-7.708403118560057,-109.80503559307509,270.29017309936296,7.819750971379339e-05,111.12141896203798,0.443181734568305,13
3e-05,1e-08,0.1,20000,0.0003,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,941.2839318719925,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86446154601474,-47.277611816087244,-7.7081372256375795,-109.8047675581274,303.7399026921884,7.572763542510496e-05,111.12751956769148,0.44318288076319756,60
3e-05,1e-08,0.005,20000,0.001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,941.3662768390204,200.0,0.0,-200.0,200.0,0.0,-200.0,-353.6658169142636,-305.658073983355,-13.510469633289489,-353.65783491198357,928.3933351704574,8.085833921944134,160.4045135558031,0.85901702385834,19
3e-05,1e-08,0.005,20000,0.0001,10,1e-05,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,941.9022261740174,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04479543363358,-13.601531440854007,-2.8885332667125,-36.97791345716819,86.24593212600463,2.8666335501012303e-05,39.005042539869244,0.44554645394141945,5
