Dataset Size,Epsilon,Proportions,Init Mode,Coverage Ratio,Log Coverage,Task Success,On-Data Quality,Optimal States Quality,Final Reward
20000,0.5,90% Eps-Greedy / 10% Random,Fixed,65.52582429387623,1.816412492938443,-1.441668651858484,1.3421223018222386,0.23073187283975388,0.14416686518584837
24000,0.5,90% Eps-Greedy / 10% Random,Fixed,65.49926597246034,1.8162364330315344,-1.4595918564453254,1.377326136876088,0.23650400487841408,0.1459591856445325
8000,0.6,90% Eps-Greedy / 10% Random,Fixed,65.73791798235821,1.8178159452112015,-1.407700413834483,1.357460005092577,0.2670962653394261,0.14077004138344829
12000,0.6,90% Eps-Greedy / 10% Random,Fixed,65.69434748713805,1.817528003338276,-1.8222380750366474,1.6599521458399282,0.27735842054199045,0.1822238075036647
16000,0.6,90% Eps-Greedy / 10% Random,Fixed,65.69261889537968,1.8175165757532903,-1.188430396838842,1.2297766574667774,0.23995611000533384,0.11884303968388418
20000,0.6,90% Eps-Greedy / 10% Random,Fixed,65.81232209953455,1.8183072145687655,-1.3501819420267318,1.3541305711283644,0.2693107549987188,0.13501819420267316
24000,0.6,90% Eps-Greedy / 10% Random,Fixed,65.69942849000408,1.817561591710205,-1.8523848562988574,1.5953861534338871,0.2531742391171482,0.1852384856298857
8000,0.7,90% Eps-Greedy / 10% Random,Fixed,66.48448307711664,1.8227202964260174,-2.033739513218342,2.469433358842971,0.7432267617318821,0.20337395132183414
12000,0.7,90% Eps-Greedy / 10% Random,Fixed,66.73445044887806,1.8243500884494517,-1.420059311520915,1.6005719649693255,0.38256796538645,0.14200593115209148
16000,0.7,90% Eps-Greedy / 10% Random,Fixed,66.82531049391974,1.8249409853183278,-1.4079540060593685,1.5972648471524606,0.3631653660367364,0.14079540060593682
20000,0.7,90% Eps-Greedy / 10% Random,Fixed,66.65085774981691,1.8238057428513832,-1.4016843912244588,1.5339625715543073,0.3491693364290304,0.14016843912244584
24000,0.7,90% Eps-Greedy / 10% Random,Fixed,66.62145535331376,1.8236141156714252,-1.624343194302113,1.6732261227013798,0.3390402242519695,0.16243431943021125
