Reset Config,Extra Steps,Dataset Size,Coverage Ratio,Log Coverage,Task Success,Converged
60/40,5,25000,3.279755805245705,0.5158415094487896,-0.012256912615440175,True
60/40,5,30000,3.256856848976014,0.5127986701196563,-0.012256912615440175,True
50/50,0,10000,3.1280001696984927,0.49526676794890917,-2.9934010000000004,False
50/50,0,15000,3.1854201099215995,0.5031667174842073,-2.9934010000000004,False
50/50,0,20000,3.2026107002697897,0.5055041503403485,-2.9934010000000004,False
50/50,0,25000,3.1985875775935515,0.5049582462353603,-2.9934010000000004,False
50/50,0,30000,3.171025771818334,0.5011997716748365,-2.9934010000000004,False
50/50,1,10000,3.153735392007409,0.49882525189336246,-0.012256912615440175,True
50/50,1,15000,3.210077322997697,0.5065154936343982,-0.012256912615440175,True
50/50,1,20000,3.232803069107403,0.5095792497384077,-0.012256912615440175,True
50/50,1,25000,3.21785761324373,0.5075668231220375,-0.012256912615440175,True
50/50,1,30000,3.199651537236831,0.5051026834150312,-0.012256912615440175,True
50/50,3,10000,3.1704396794348053,0.5011194947449271,-0.012256912615440175,True
50/50,3,15000,3.198278760025186,0.5049163139019703,-0.01225691261544018,True
50/50,3,20000,3.2179899781486707,0.5075846872330206,-0.01225691261544018,True
50/50,3,25000,3.1896778855756405,0.5037468273893344,-0.01225691261544018,True
50/50,3,30000,3.1806148320126435,0.5025110798399726,-0.012256912615440175,True
50/50,5,10000,3.2386875821284655,0.5103690560985834,-0.012256912615440175,True
50/50,5,15000,3.263851614488782,0.5137304060641794,-0.012256912615440175,True
50/50,5,20000,3.2749355257706227,0.5152027543804217,-0.012256912615440175,True
50/50,5,25000,3.2617553489620494,0.5134513832583995,-0.01225691261544018,True
50/50,5,30000,3.2414999965867377,0.5107460254816154,-0.01225691261544018,True
100/0,0,10000,3.998140451149386,0.601858046432362,-2.9934010000000004,False
100/0,0,15000,4.036393372153579,0.6059934843811945,-2.9934010000000004,False
100/0,0,20000,4.017870251394065,0.6039959080186466,-2.9934010000000004,False
100/0,0,25000,4.00953389439804,0.6030938891148293,-2.9934010000000004,False
100/0,0,30000,3.9945060007376263,0.601463077913018,-2.9934010000000004,False
100/0,1,10000,4.10092231272803,0.6128815421543212,-0.01225691261544018,True
100/0,1,15000,4.108446703232834,0.6136776574671169,-0.01225691261544018,True
100/0,1,20000,4.071241832142889,0.60972690027816,-0.012256912615440175,True
100/0,1,25000,4.051602149596489,0.6076267928782885,-0.01225691261544018,True
100/0,1,30000,4.040987292864225,0.6064874847787963,-0.012256912615440175,True
100/0,3,10000,3.8840994040991155,0.5892903360916046,-0.012256912615440175,True
100/0,3,15000,3.957080080134291,0.5973748392497331,-0.01225691261544018,True
100/0,3,20000,3.9212836440369214,0.5934282579045651,-0.01225691261544018,True
100/0,3,25000,3.966144564151726,0.5983685399926193,-0.01225691261544018,True
100/0,3,30000,3.953165184321814,0.5969449618614702,-0.01225691261544018,True
100/0,5,10000,3.8317057608525884,0.5833921519345975,-0.01225691261544018,True
100/0,5,15000,3.933199393851127,0.5947459635605847,-0.012256912615440175,True
100/0,5,20000,3.961683958116586,0.5978798269015149,-0.012256912615440175,True
100/0,5,25000,3.992685547866233,0.6012651077891039,-0.012256912615440175,True
100/0,5,30000,3.977917122758466,0.5996557306477387,-0.012256912615440175,True
0/100,0,10000,3.1163119317849928,0.4936409225155076,-2.9934010000000004,False
0/100,0,15000,3.135268044108633,0.49627467598045427,-2.9934010000000004,False
0/100,0,20000,3.1394993544525613,0.4968603980942501,-2.9934010000000004,False
0/100,0,25000,3.123539837263295,0.4946470492586036,-2.9934010000000004,False
0/100,0,30000,3.1086863761995556,0.49257690989899505,-2.9934010000000004,False
0/100,1,10000,3.0868513700843687,0.4895157189844667,-1.9983603961000007,False
0/100,1,15000,3.107635572812435,0.49243008413267164,-1.6376719208410009,False
0/100,1,20000,3.1336336279684986,0.4960482191100143,-1.6376719208410009,False
0/100,1,25000,3.1151962779431486,0.493485415278384,-1.6376719208410009,False
0/100,1,30000,3.0990582042755968,0.4912297329215478,-1.6376719208410009,False
0/100,3,10000,3.1799125096190966,0.5024151712069642,-0.1,False
0/100,3,15000,3.1933732727512645,0.5042496861001182,-0.1,False
0/100,3,20000,3.209993711411748,0.5065041815943263,-0.1,False
0/100,3,25000,3.1829068792690833,0.502823932868199,-0.1,False
0/100,3,30000,3.1701589295981716,0.501081035251607,-0.1,False
0/100,5,10000,3.126707515022449,0.49508725746525334,-0.1,False
0/100,5,15000,3.143034939644618,0.49734920889238604,-0.1,False
0/100,5,20000,3.1797306995162335,0.5023903399005991,-1.6376719208410009,False
0/100,5,25000,3.1760264276938486,0.5018841075314617,-1.6376719208410009,False
0/100,5,30000,3.1701120929340014,0.5010746188366846,-1.6376719208410009,False
