feature_type,reset_name,reset_probs,policy_fraction,random_fraction,epsilon,n_transitions,mean_steps,successes,solver_alpha,solver_eta,solver_rho,solver_T,solver_beta,dataset_rows,status,error
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",1.0,0.0,0.4,25000,187.7,6,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",1.0,0.0,0.6,25000,190.6,3,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.8,0.2,0.0,25000,190.5,3,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.8,0.2,0.1,25000,184.3,8,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.8,0.2,0.2,25000,180.3,8,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.8,0.2,0.4,25000,185.4,7,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.8,0.2,0.6,25000,184.8,4,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.6,0.4,0.0,25000,194.0,4,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.6,0.4,0.1,25000,190.1,4,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.6,0.4,0.2,25000,183.9,5,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.6,0.4,0.4,25000,182.2,5,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.6,0.4,0.6,25000,192.3,4,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.4,0.6,0.0,25000,190.3,5,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.4,0.6,0.1,25000,196.2,3,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.4,0.6,0.2,25000,198.5,1,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.4,0.6,0.4,25000,196.3,3,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.4,0.6,0.6,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.2,0.8,0.0,25000,199.3,1,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.2,0.8,0.1,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.2,0.8,0.2,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.2,0.8,0.4,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.2,0.8,0.6,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.0,1.0,0.0,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.0,1.0,0.1,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.0,1.0,0.2,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.0,1.0,0.4,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",0.0,1.0,0.6,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
