Dataset Size,Epsilon,Proportions,Init Mode,Extra Steps,Coverage Ratio,Log Coverage,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
12000,0.7,80% Eps-Greedy / 20% Random,50/50,1,21.88094258870299,1.340066026631002,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
16000,0.7,80% Eps-Greedy / 20% Random,50/50,1,68.28631866554025,1.8343337004129934,1,-0.012256912615440175,0.016671186603066362,0.01667118660306635
20000,0.7,80% Eps-Greedy / 20% Random,50/50,1,17.30390008796875,1.2381439988391998,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
4000,0.9,80% Eps-Greedy / 20% Random,50/50,1,95.07948350506533,1.9780868138690444,0,-0.1,4.792633492939261,4.704890405554702
8000,0.9,80% Eps-Greedy / 20% Random,50/50,1,80.61916826245258,1.906438313280062,0,-0.1,18.01999489039772,17.93225180301316
12000,0.9,80% Eps-Greedy / 20% Random,50/50,1,86.91331605348137,1.9390863201254147,0,-0.1,2.1058340972294363,2.018091009844876
16000,0.9,80% Eps-Greedy / 20% Random,50/50,1,87.30466133672464,1.9410374320076778,0,-0.1,2.1058340972294363,2.0180910098448765
20000,0.9,80% Eps-Greedy / 20% Random,50/50,1,78.18225084331654,1.8931081694827785,0,-0.1,2.1058340972294363,2.018091009844876
4000,0.1,60% Eps-Greedy / 40% Random,50/50,1,2.3387352469871576,0.36898106093680927,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
8000,0.1,60% Eps-Greedy / 40% Random,50/50,1,2.3349549037777155,0.36827849722349293,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
12000,0.1,60% Eps-Greedy / 40% Random,50/50,1,2.479850724043749,0.3944255390216712,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
16000,0.1,60% Eps-Greedy / 40% Random,50/50,1,2.3618684969053056,0.373255713489921,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
20000,0.1,60% Eps-Greedy / 40% Random,50/50,1,2.387532939804029,0.37794937207837676,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
4000,0.3,60% Eps-Greedy / 40% Random,50/50,1,3.338678052931764,0.5235745422719923,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
8000,0.3,60% Eps-Greedy / 40% Random,50/50,1,2.927983428752946,0.46656861445550746,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
12000,0.3,60% Eps-Greedy / 40% Random,50/50,1,2.9163347887343845,0.46483737854648816,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
16000,0.3,60% Eps-Greedy / 40% Random,50/50,1,2.7826439921407795,0.44445764681597,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
20000,0.3,60% Eps-Greedy / 40% Random,50/50,1,2.7436872280450135,0.4383346016133418,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
4000,0.5,60% Eps-Greedy / 40% Random,50/50,1,4.370634078552302,0.6405444476889501,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
8000,0.5,60% Eps-Greedy / 40% Random,50/50,1,5.2340519785449455,0.7188380312353023,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
12000,0.5,60% Eps-Greedy / 40% Random,50/50,1,4.460069529868666,0.6493416291612261,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
