Dataset Size,Epsilon,Proportions,Init Mode,Extra Steps,Coverage Ratio,Log Coverage,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
16000,0.1,0% Eps-Greedy / 100% Random,100/0,0,190.9390938687268,2.2808948572215226,0,0.21923520741208527,6.206394082399835,5.99941578760319
20000,0.1,0% Eps-Greedy / 100% Random,100/0,0,188.4881598910378,2.275284074671852,0,0.2184832116914102,4.971216293218265,4.764989994142295
4000,0.3,0% Eps-Greedy / 100% Random,100/0,0,200.6709006219542,2.3024843998140074,0,0.24031877095957305,6.672508685988142,6.4444468276440094
8000,0.3,0% Eps-Greedy / 100% Random,100/0,0,218.12782875685332,2.3387110764202803,0,0.23839363836121946,4.941543745836014,4.715407020090235
12000,0.3,0% Eps-Greedy / 100% Random,100/0,0,153.41575303033974,2.1858699561115986,0,0.22222550975494285,6.267170554883939,6.057201957744438
16000,0.3,0% Eps-Greedy / 100% Random,100/0,0,191.35031872110937,2.2818291899402086,0,0.23480704282772327,5.917322097660857,5.694771967448572
20000,0.3,0% Eps-Greedy / 100% Random,100/0,0,189.74029949487212,2.2781595817557188,0,0.22050925785668565,5.42955797659826,5.221305631357015
4000,0.5,0% Eps-Greedy / 100% Random,100/0,0,232.7324384489042,2.366856919846796,0,0.2681536243445074,6.49558751731174,6.239690805582674
8000,0.5,0% Eps-Greedy / 100% Random,100/0,0,218.91433889646444,2.34027420880257,0,0.21876266803709035,5.617549915728265,5.411044160306615
12000,0.5,0% Eps-Greedy / 100% Random,100/0,0,215.70902590318659,2.333868317647454,0,0.22017283063430013,5.560933941229409,5.3530180232105495
16000,0.5,0% Eps-Greedy / 100% Random,100/0,0,199.4948006498789,2.2999315813335834,0,0.22675159776952677,5.262182478577981,5.0476877934238935
20000,0.5,0% Eps-Greedy / 100% Random,100/0,0,196.08831427497398,2.2924517130093727,0,0.2150673958880581,4.714751544805672,4.5119410615330535
4000,0.7,0% Eps-Greedy / 100% Random,100/0,0,222.60073631358097,2.347526596550335,0,0.18436810745197343,4.365229432023738,4.193118237187204
8000,0.7,0% Eps-Greedy / 100% Random,100/0,0,203.67592638567524,2.308939700302538,0,0.225116174345936,5.9009545909613,5.688095329230803
12000,0.7,0% Eps-Greedy / 100% Random,100/0,0,209.63905312443333,2.3214721894594703,0,0.21291854319365613,4.769663484611231,4.569001854033014
16000,0.7,0% Eps-Greedy / 100% Random,100/0,0,166.5528013036051,2.221551941623213,0,0.21994384194300814,5.26491116909752,5.057224239769951
20000,0.7,0% Eps-Greedy / 100% Random,100/0,0,200.53541497791986,2.3021910810524124,0,0.2349617919151339,6.0100385119789,5.787333632679206
4000,0.9,0% Eps-Greedy / 100% Random,100/0,0,214.09406785292194,2.3306046339715345,0,0.23271720499195844,5.41830210641835,5.197841814041832
8000,0.9,0% Eps-Greedy / 100% Random,100/0,0,169.21417540963824,2.2284367419436344,0,0.2137687676633074,6.612605134679917,6.41109327963205
12000,0.9,0% Eps-Greedy / 100% Random,100/0,0,194.97828249813196,2.2899862405087803,0,0.23611612636694387,5.935958651392314,5.712099437640809
16000,0.9,0% Eps-Greedy / 100% Random,100/0,0,191.56313708914112,2.282311940551336,0,0.22985755845712555,6.1501479243282935,5.9325472784866085
20000,0.9,0% Eps-Greedy / 100% Random,100/0,0,168.58944883923934,2.2268303908445666,0,0.22300458739298748,5.16653778380568,4.955790109028133
4000,0.1,100% Eps-Greedy,100/0,1,1.5587722132814517,0.19278265544366147,1,0.26894488699990365,3.204567778468782,2.9478798040843186
8000,0.1,100% Eps-Greedy,100/0,1,1.555853713373096,0.1919687607375589,1,0.19736837186485387,2.5800579231792318,2.394946463929818
12000,0.1,100% Eps-Greedy,100/0,1,1.561860080402712,0.19364212491207988,1,0.2080244979281402,2.802380741832023,2.6066131565193222
16000,0.1,100% Eps-Greedy,100/0,1,1.5647477254245346,0.19444432891918825,1,0.20135642924309605,2.514409415275763,2.3253098986481064
20000,0.1,100% Eps-Greedy,100/0,1,1.5668682686646658,0.1950324855580103,1,0.17954924968502536,2.2451194142328696,2.0778270771632847
4000,0.3,100% Eps-Greedy,100/0,1,1.834241353412128,0.26345648049357406,1,0.27992521612637855,4.345010427407082,4.077342123896145
8000,0.3,100% Eps-Greedy,100/0,1,1.872051069707857,0.2723176921530402,1,0.25840916450945295,3.649239629807939,3.403087377913926
12000,0.3,100% Eps-Greedy,100/0,1,1.8739612797850544,0.27276061315292516,1,0.2050348571215502,2.9887905281119256,2.7960125836058154
16000,0.3,100% Eps-Greedy,100/0,1,1.8739136239759002,0.272749568678134,1,0.22759921992923,3.313740436082216,3.0983981287684257
20000,0.3,100% Eps-Greedy,100/0,1,1.8803813008095662,0.27424592375658924,1,0.23300521440679506,3.26365461288289,3.0429063110915355
