Dataset Size,Epsilon,Proportions,Init Mode,Coverage Ratio,Log Coverage,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
12000,0.9,0% Eps-Greedy / 100% Random,100/0,111.83142630085987,2.04856386393669,0,0.13910823234319708,5.80138123687709,5.674529917149332
16000,0.9,0% Eps-Greedy / 100% Random,100/0,108.35414697971348,2.034845537491934,0,0.15586329108670463,4.106697667947178,3.963091289475913
20000,0.9,0% Eps-Greedy / 100% Random,100/0,106.41357073338705,2.026997016293646,0,0.1817291280549717,5.879228278608623,5.709756063169092
4000,0.1,100% Eps-Greedy,20/80,65.79363605419906,1.8181838881396861,1,0.3561107380657886,4.363844098148866,4.019990272698518
8000,0.1,100% Eps-Greedy,20/80,65.66500399749683,1.817333975038061,1,0.18920075556771804,2.258220006308086,2.081276163355808
12000,0.1,100% Eps-Greedy,20/80,65.68367135772307,1.8174574194743391,1,0.2578628892211142,3.4005622503258546,3.15495627372018
16000,0.1,100% Eps-Greedy,20/80,65.71019547756734,1.817632759150682,1,0.21449580204130828,2.4551472709395687,2.252908381513701
20000,0.1,100% Eps-Greedy,20/80,65.75318004249033,1.8179167615953855,1,0.2273631040577701,2.6738146839539683,2.4587084925116383
4000,0.3,100% Eps-Greedy,20/80,66.3881536620528,1.82209059053979,0,0.2509041830586677,4.280979155402526,4.0423318849592995
8000,0.3,100% Eps-Greedy,20/80,66.14477764017154,1.820495560819989,1,0.22438123631774126,1.7469838495269823,1.534859525824681
12000,0.3,100% Eps-Greedy,20/80,66.06614811558453,1.8199789866794827,1,0.16046020138633865,1.6094483813748672,1.4612450926039688
16000,0.3,100% Eps-Greedy,20/80,65.98494122587971,1.819444834197847,1,0.1564745372023427,1.6148634549883396,1.4706458304014371
20000,0.3,100% Eps-Greedy,20/80,65.99120676436169,1.8194860702671272,1,0.1503888019178191,1.5684114128905797,1.4302795235882009
4000,0.5,100% Eps-Greedy,20/80,66.19329834245829,1.8208140220647815,1,0.15028330925990052,1.5682497654517402,1.4302233688072796
8000,0.5,100% Eps-Greedy,20/80,66.2787557775516,1.8213743470011383,1,0.14737678541853788,1.4838407047633404,1.3487208319602426
12000,0.5,100% Eps-Greedy,20/80,66.1127581880115,1.8202852760665151,1,0.1297007688114599,1.3609090136394415,1.243465157443422
16000,0.5,100% Eps-Greedy,20/80,66.30888268901414,1.8215717100702973,1,0.136812701570161,1.4992671509184303,1.374711361963709
20000,0.5,100% Eps-Greedy,20/80,66.19807834883227,1.820845382572459,1,0.1331654599614386,1.442950244014855,1.3220416966688566
4000,0.7,100% Eps-Greedy,20/80,66.93607656192874,1.8256602527268515,0,0.1816522437408647,1.3636008436471132,1.1942055125216886
8000,0.7,100% Eps-Greedy,20/80,66.86442289985882,1.8251951006064164,1,0.17000793621288723,1.2848018233658138,1.1270507997683668
12000,0.7,100% Eps-Greedy,20/80,66.57114920732676,1.823286054174033,1,0.12919379399097214,1.3230476395209347,1.2061107581454027
16000,0.7,100% Eps-Greedy,20/80,66.8571734603485,1.8251480118538888,1,0.14642503073627533,1.325298906623755,1.1911307885029196
20000,0.7,100% Eps-Greedy,20/80,66.71172674140658,1.8242021819141514,1,0.1363962937398673,1.3101227253187424,1.1859833441943153
4000,0.9,100% Eps-Greedy,20/80,69.19652477907006,1.8400842836594709,0,0.17359288258096592,1.5928052523326115,1.4314692823670856
8000,0.9,100% Eps-Greedy,20/80,68.9066112943017,1.8382608926026485,1,0.17946478760756282,1.4367229321125248,1.269515057120402
12000,0.9,100% Eps-Greedy,20/80,68.68463913138187,1.8368596208091739,1,0.1642020631040307,1.4049588876478682,1.2530137371592776
16000,0.9,100% Eps-Greedy,20/80,68.74510151801702,1.8372417576370312,1,0.15358877830323148,1.4819234053357528,1.3405915396479613
20000,0.9,100% Eps-Greedy,20/80,68.88408050359409,1.8381188656190146,1,0.15951386709368834,1.4342019951759413,1.286945040697693
4000,0.1,80% Eps-Greedy / 20% Random,20/80,65.98229640455159,1.8194274263725534,1,0.24609799645768093,1.7175103904949025,1.4836693066526618
8000,0.1,80% Eps-Greedy / 20% Random,20/80,66.21703376759248,1.8209697223656198,0,0.17442376218076483,1.5219517697788123,1.3597849202134875
12000,0.1,80% Eps-Greedy / 20% Random,20/80,66.18261533575895,1.8207439251605817,0,0.18754611761989542,1.6856341259233272,1.5103449209188722
16000,0.1,80% Eps-Greedy / 20% Random,20/80,66.2136736178463,1.8209476837535448,1,0.1719400505178182,1.59699489727498,1.437311759372602
20000,0.1,80% Eps-Greedy / 20% Random,20/80,65.98356398160935,1.8194357694655319,1,0.17579905896248574,1.409942453055944,1.2464003067088987
4000,0.3,80% Eps-Greedy / 20% Random,20/80,66.26103509104982,1.8212582158927568,0,0.23490355110462105,3.877427672934913,3.6547810344457323
8000,0.3,80% Eps-Greedy / 20% Random,20/80,66.4601253756394,1.8225611562309407,1,0.16052156141918347,1.5599778317928403,1.4117131829890972
12000,0.3,80% Eps-Greedy / 20% Random,20/80,66.34170464365845,1.8217866264813714,1,0.17780570497825673,1.4132562565818283,1.2477074642190116
16000,0.3,80% Eps-Greedy / 20% Random,20/80,66.2508387786723,1.8211913810940217,1,0.16544359782717485,1.4555232212397209,1.3023365360279862
20000,0.3,80% Eps-Greedy / 20% Random,20/80,66.39012948242986,1.8221035156637897,1,0.16776523692605158,1.3614765233649009,1.2059681990542892
4000,0.5,80% Eps-Greedy / 20% Random,20/80,66.5056734898931,1.8228586958332142,1,0.21319668581822504,2.6420729249330415,2.4411331517302566
8000,0.5,80% Eps-Greedy / 20% Random,20/80,66.43088197652762,1.8223700184357747,1,0.14369155691125426,1.3442474747590152,1.2128128304632013
12000,0.5,80% Eps-Greedy / 20% Random,20/80,66.64722447534832,1.823782067926328,1,0.16514012625774496,1.4271577732193865,1.2742745595770817
16000,0.5,80% Eps-Greedy / 20% Random,20/80,66.55716367375132,1.823194806265167,1,0.14467580317485007,1.291842036390593,1.159423145831183
20000,0.5,80% Eps-Greedy / 20% Random,20/80,66.56779733269795,1.8232641867837094,1,0.16054772459642613,1.2718017203050738,1.1235109083240875
4000,0.7,80% Eps-Greedy / 20% Random,20/80,67.20213019251598,1.827383039663831,0,0.14362289611090917,1.5605541906921763,1.429188207196707
8000,0.7,80% Eps-Greedy / 20% Random,20/80,67.20915606012817,1.827428442034754,1,0.14628989753626365,1.338040508478196,1.2040075235573724
12000,0.7,80% Eps-Greedy / 20% Random,20/80,66.93936071561103,1.825681560441713,1,0.1409485332545474,1.3362371463335545,1.2075455256944474
16000,0.7,80% Eps-Greedy / 20% Random,20/80,67.26810351067776,1.8278091837931352,1,0.15027979733925087,1.3897873274021528,1.2517644426783423
20000,0.7,80% Eps-Greedy / 20% Random,20/80,67.21681287489986,1.8274779162908705,1,0.14225764574270333,1.3238444243533705,1.193843691226107
4000,0.9,80% Eps-Greedy / 20% Random,20/80,69.27131537404848,1.8405534344141898,0,0.16290372942900908,1.5579492797710184,1.4073024629574493
8000,0.9,80% Eps-Greedy / 20% Random,20/80,69.0714029104798,1.8392982770585928,1,0.16490376873767196,1.4421551355686038,1.289508279446372
12000,0.9,80% Eps-Greedy / 20% Random,20/80,69.60936146326775,1.8426676499330161,1,0.16787297808936263,1.526805288168175,1.3711892226942526
16000,0.9,80% Eps-Greedy / 20% Random,20/80,68.94506929443601,1.8385032124293685,1,0.16312385797238552,1.4212787491513281,1.2704118037943828
20000,0.9,80% Eps-Greedy / 20% Random,20/80,69.29036931345489,1.8406728761027569,1,0.15476717617222369,1.4750672007097816,1.332556937152998
4000,0.1,60% Eps-Greedy / 40% Random,20/80,66.43950550388936,1.822426391423376,1,0.1631847926581121,1.395540553568237,1.2446126735255651
8000,0.1,60% Eps-Greedy / 40% Random,20/80,66.51751080834622,1.822935988857365,1,0.16345526674175495,1.2613661650872368,1.110167810960922
12000,0.1,60% Eps-Greedy / 40% Random,20/80,66.50734534206678,1.8228696132032582,1,0.18541678845676543,1.2939326866468415,1.1207728108055162
16000,0.1,60% Eps-Greedy / 40% Random,20/80,66.56501393413248,1.8232460272537394,1,0.18370308730338167,1.2696514410567858,1.0982052663688444
20000,0.1,60% Eps-Greedy / 40% Random,20/80,66.45032916176191,1.8224971365621638,1,0.1616454095614657,1.2850327228061205,1.1356442258600947
4000,0.3,60% Eps-Greedy / 40% Random,20/80,67.36404144798333,1.8284281343987603,0,0.19721013016495081,1.7660311681269578,1.581077950577447
8000,0.3,60% Eps-Greedy / 40% Random,20/80,67.16811365582471,1.8271631517768858,0,0.1888279546367707,1.4110563424715594,1.2344853004502285
12000,0.3,60% Eps-Greedy / 40% Random,20/80,66.70520448414777,1.824159719832116,1,0.16420429561269528,1.25440718534065,1.102459802343395
16000,0.3,60% Eps-Greedy / 40% Random,20/80,66.818274847852,1.8248952585854081,1,0.1826586057455821,1.2767026486473751,1.1063009555172332
20000,0.3,60% Eps-Greedy / 40% Random,20/80,66.65666456348086,1.823843578182646,1,0.1647461239471843,1.239438652636916,1.0869494413051721
4000,0.5,60% Eps-Greedy / 40% Random,20/80,66.95439861047201,1.8257791135288455,1,0.1498943820702007,1.4112143469949592,1.2735768775401985
8000,0.5,60% Eps-Greedy / 40% Random,20/80,66.6562117993953,1.8238406282358843,1,0.15169261419397717,1.234320583960524,1.094884882381987
12000,0.5,60% Eps-Greedy / 40% Random,20/80,67.38169707399194,1.8285419449144484,1,0.173353784249729,1.3299783234806433,1.1688814518463544
16000,0.5,60% Eps-Greedy / 40% Random,20/80,66.97911060609569,1.8259393763864493,1,0.15886408800696825,1.2910796945326513,1.144472519141123
20000,0.5,60% Eps-Greedy / 40% Random,20/80,66.97725088621247,1.825927317741765,1,0.1635287266898779,1.2412750226519416,1.0900032085775038
4000,0.7,60% Eps-Greedy / 40% Random,20/80,67.69352061383091,1.8305471015311365,1,0.14763418120138774,1.3220570331164496,1.186679764530502
8000,0.7,60% Eps-Greedy / 40% Random,20/80,67.60533067652464,1.8299809413872716,1,0.16630234723062476,1.3419559499120632,1.1879105152968785
12000,0.7,60% Eps-Greedy / 40% Random,20/80,67.9176499673002,1.8319826503823817,1,0.1540984816030223,1.3717476852699686,1.2299061162823863
16000,0.7,60% Eps-Greedy / 40% Random,20/80,67.5010355315119,1.8293104353817187,1,0.1679283505202979,1.3144923593146705,1.1588209214098129
20000,0.7,60% Eps-Greedy / 40% Random,20/80,67.35799036536604,1.8283891214510395,1,0.15752148162169097,1.3002579403952854,1.1549933713890348
4000,0.9,60% Eps-Greedy / 40% Random,20/80,69.81920010095219,1.8439748689162505,1,0.15122278757405083,1.5894343216910225,1.4504684467324118
8000,0.9,60% Eps-Greedy / 40% Random,20/80,69.7356796997212,1.8434550382408432,1,0.17367633215596331,1.4749505158263716,1.3135310962858484
12000,0.9,60% Eps-Greedy / 40% Random,20/80,69.37024474440757,1.841173226731883,1,0.17664904930942615,1.4380233681484687,1.2736312314544826
16000,0.9,60% Eps-Greedy / 40% Random,20/80,70.07974453726528,1.845592510022778,1,0.15931472154523962,1.5121462412186548,1.365088432288855
20000,0.9,60% Eps-Greedy / 40% Random,20/80,69.6515186502825,1.842930590024123,1,0.1587928306282626,1.4629144002790178,1.3163784822661952
4000,0.1,40% Eps-Greedy / 60% Random,20/80,67.31557785911178,1.8281155782713094,0,0.18130950698148246,1.572675375164428,1.4036227807983859
8000,0.1,40% Eps-Greedy / 60% Random,20/80,67.3477141194677,1.828322859715294,1,0.182432179774591,1.3466020749689576,1.1764268078098068
12000,0.1,40% Eps-Greedy / 60% Random,20/80,66.90597805917945,1.8254649237786382,1,0.15909527284291444,1.2530822192411577,1.1062438590136834
16000,0.1,40% Eps-Greedy / 60% Random,20/80,67.27145802122344,1.8278308405519827,1,0.1774450761748044,1.3434044332183024,1.1782162696589382
20000,0.1,40% Eps-Greedy / 60% Random,20/80,67.00737956503848,1.8261226344603714,1,0.1701644442054463,1.297387641383493,1.139480109793487
4000,0.3,40% Eps-Greedy / 60% Random,20/80,67.14233510094067,1.8269964412286197,1,0.16832430313229488,1.388245034031243,1.2321776435143883
8000,0.3,40% Eps-Greedy / 60% Random,20/80,67.59813672764487,1.8299347252307703,1,0.17761673697411037,1.3128196771620644,1.1474598528033941
12000,0.3,40% Eps-Greedy / 60% Random,20/80,67.13787786187868,1.826967609663832,1,0.15091135033227754,1.2992091833062203,1.160554745589383
16000,0.3,40% Eps-Greedy / 60% Random,20/80,67.74784779802751,1.830895503173204,1,0.19841564294968214,1.3874246726351829,1.2012659423009406
20000,0.3,40% Eps-Greedy / 60% Random,20/80,67.30454947163643,1.82804442148472,1,0.17636542427517563,1.2818931112095733,1.1177845995498379
