feature_type,reset_name,reset_probs,policy_fraction,random_fraction,epsilon,n_transitions,mean_steps,successes,solver_alpha,solver_eta,solver_rho,solver_T,solver_beta,dataset_rows,status,error
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.8,10000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.8,20000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.8,30000,194.2,3,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.8,40000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.8,50000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,1.0,10000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,1.0,20000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,1.0,30000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,1.0,40000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,1.0,50000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.0,10000,177.7,3,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.0,20000,176.5,3,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.0,30000,197.7,1,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.0,40000,177.8,8,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.0,50000,192.0,1,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.2,10000,176.9,8,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.2,20000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.2,30000,184.1,2,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.2,40000,184.1,2,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.2,50000,160.9,8,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.4,10000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.4,20000,185.6,2,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.4,30000,190.3,3,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.4,40000,170.2,8,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.4,50000,161.0,10,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.6,10000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.6,20000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.6,30000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.6,40000,195.7,1,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.6,50000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.8,10000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.8,20000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.8,30000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.8,40000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.8,50000,198.8,1,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,1.0,10000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,1.0,20000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,1.0,30000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,1.0,40000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,1.0,50000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.0,10000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.0,20000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.0,30000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.0,40000,185.6,2,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.0,50000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.2,10000,192.1,3,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.2,20000,184.2,3,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.2,30000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.2,40000,197.4,4,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.2,50000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.4,10000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.4,20000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.4,30000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.4,40000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.4,50000,189.6,2,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.6,10000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
