Dataset Size,Epsilon,Proportions,Init Mode,Extra Steps,Coverage Ratio,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
16000,0.5,20% Eps-Greedy / 80% Random,100/0,0.0,67.18227859083257,0,-0.1,0.1949846386323551,0.09749231931617752
20000,0.5,20% Eps-Greedy / 80% Random,100/0,0.0,67.05046365963335,0,-1.6376719208410009,1.635164240157178,-3.7364323621336136e-17
4000,0.7,20% Eps-Greedy / 80% Random,100/0,0.0,71.84354213522596,0,-0.1,0.1949846386323551,0.09749231931617752
8000,0.7,20% Eps-Greedy / 80% Random,100/0,0.0,78.08524092661153,0,-0.1,2.339815663588262,2.242323344272084
12000,0.7,20% Eps-Greedy / 80% Random,100/0,0.0,71.64606031900857,0,-0.1,0.1949846386323551,0.09749231931617752
16000,0.7,20% Eps-Greedy / 80% Random,100/0,0.0,72.64401719063892,0,-0.1,0.1949846386323551,0.09749231931617752
20000,0.7,20% Eps-Greedy / 80% Random,100/0,0.0,71.70937331334734,0,-0.1,1.5598771090588417,1.4623847897426634
4000,0.9,20% Eps-Greedy / 80% Random,100/0,0.0,100.77474647786894,0,-0.1,3.2172465374338604,3.1197542181176825
8000,0.9,20% Eps-Greedy / 80% Random,100/0,0.0,104.77327680086849,0,-0.1,3.2172465374338604,3.1197542181176825
12000,0.9,20% Eps-Greedy / 80% Random,100/0,0.0,95.51799988239594,0,-0.1,4.506114915091778,4.408622595775601
16000,0.9,20% Eps-Greedy / 80% Random,100/0,0.0,112.6658214987284,0,-0.1,3.2172465374338604,3.1197542181176825
20000,0.9,20% Eps-Greedy / 80% Random,100/0,0.0,102.98935489816486,0,-0.1,4.415316925838038,4.31782460652186
4000,0.1,0% Eps-Greedy / 100% Random,100/0,0.0,99.78300489218759,0,-0.23839047287569007,5.01632268481783,4.780439892625963
8000,0.1,0% Eps-Greedy / 100% Random,100/0,0.0,127.47365853312158,0,-1.6376719208410009,3.8461869992790616,2.2110227591218834
12000,0.1,0% Eps-Greedy / 100% Random,100/0,0.0,119.4400251206098,0,-0.1,3.2172465374338604,3.1197542181176825
16000,0.1,0% Eps-Greedy / 100% Random,100/0,0.0,117.40830006660876,0,-0.1,2.339815663588262,2.242323344272084
20000,0.1,0% Eps-Greedy / 100% Random,100/0,0.0,127.29367860713084,0,-0.1,3.2172465374338604,3.1197542181176825
4000,0.3,0% Eps-Greedy / 100% Random,100/0,0.0,138.10432689127774,0,-0.1,3.2172465374338604,3.1197542181176825
8000,0.3,0% Eps-Greedy / 100% Random,100/0,0.0,137.77867683576068,0,-0.1,3.2172465374338604,3.1197542181176825
12000,0.3,0% Eps-Greedy / 100% Random,100/0,0.0,102.40228863860052,0,-0.1,5.283720756508238,5.186228437192061
16000,0.3,0% Eps-Greedy / 100% Random,100/0,0.0,117.49836228774166,0,-0.1,3.2172465374338604,3.1197542181176825
20000,0.3,0% Eps-Greedy / 100% Random,100/0,0.0,121.16297139084729,0,-0.1,4.191418164137239,4.093925844821062
4000,0.5,0% Eps-Greedy / 100% Random,100/0,0.0,153.77755564742415,0,-0.1,2.339815663588262,2.242323344272084
8000,0.5,0% Eps-Greedy / 100% Random,100/0,0.0,141.09424326976372,0,-0.1,3.2172465374338604,3.1197542181176825
12000,0.5,0% Eps-Greedy / 100% Random,100/0,0.0,131.6990760184432,0,-0.1,4.944123946108117,4.84663162679194
16000,0.5,0% Eps-Greedy / 100% Random,100/0,0.0,129.60037051779204,0,-0.1,3.2172465374338604,3.1197542181176825
