run_idx,stage,metric,alpha,rho,eta,T,D_theta,D_pi,per_run_metric_1
250,grid,0.5878395521618861,0.001,100.0,0.001,2000,20.0,40.0,0.5878395521618861
251,grid,0.7277933410366155,0.001,0.01,0.01,2000,0.1,0.2,0.7277933410366155
252,grid,0.6581918279447293,0.001,0.01,0.01,2000,0.5,1.0,0.6581918279447293
253,grid,0.6581918279447293,0.001,0.01,0.01,2000,1.0,2.0,0.6581918279447293
254,grid,0.6868133109443075,0.001,0.01,0.01,2000,5.0,10.0,0.6868133109443075
255,grid,0.7804949128866016,0.001,0.01,0.01,2000,20.0,40.0,0.7804949128866016
256,grid,0.7277933410366155,0.001,0.1,0.01,2000,0.1,0.2,0.7277933410366155
257,grid,0.6581918279447293,0.001,0.1,0.01,2000,0.5,1.0,0.6581918279447293
258,grid,0.6347308867028293,0.001,0.1,0.01,2000,1.0,2.0,0.6347308867028293
259,grid,0.6097515120044903,0.001,0.1,0.01,2000,5.0,10.0,0.6097515120044903
260,grid,0.7451955140361937,0.001,0.1,0.01,2000,20.0,40.0,0.7451955140361937
261,grid,0.7665888077766017,0.001,1.0,0.01,2000,0.1,0.2,0.7665888077766017
262,grid,0.6452299819547292,0.001,1.0,0.01,2000,0.5,1.0,0.6452299819547292
263,grid,0.6441800724295392,0.001,1.0,0.01,2000,1.0,2.0,0.6441800724295392
264,grid,0.5646335209705351,0.001,1.0,0.01,2000,5.0,10.0,0.5646335209705351
265,grid,0.527986464980535,0.001,1.0,0.01,2000,20.0,40.0,0.527986464980535
266,grid,0.7665888077766017,0.001,10.0,0.01,2000,0.1,0.2,0.7665888077766017
267,grid,0.7665888077766017,0.001,10.0,0.01,2000,0.5,1.0,0.7665888077766017
268,grid,0.7277933410366155,0.001,10.0,0.01,2000,1.0,2.0,0.7277933410366155
269,grid,0.5937444521618862,0.001,10.0,0.01,2000,5.0,10.0,0.5937444521618862
270,grid,0.47990749609000005,0.001,10.0,0.01,2000,20.0,40.0,0.47990749609000005
271,grid,0.7665888077766017,0.001,100.0,0.01,2000,0.1,0.2,0.7665888077766017
272,grid,0.7665888077766017,0.001,100.0,0.01,2000,0.5,1.0,0.7665888077766017
273,grid,0.7665888077766017,0.001,100.0,0.01,2000,1.0,2.0,0.7665888077766017
274,grid,0.7082066046847155,0.001,100.0,0.01,2000,5.0,10.0,0.7082066046847155
275,grid,0.5878395521618861,0.001,100.0,0.01,2000,20.0,40.0,0.5878395521618861
276,grid,0.7145323482123824,0.001,0.01,0.1,2000,0.1,0.2,0.7145323482123824
277,grid,0.6694111379447294,0.001,0.01,0.1,2000,0.5,1.0,0.6694111379447294
278,grid,0.6581918279447293,0.001,0.01,0.1,2000,1.0,2.0,0.6581918279447293
279,grid,0.6244463054900882,0.001,0.01,0.1,2000,5.0,10.0,0.6244463054900882
280,grid,0.6153586643900881,0.001,0.01,0.1,2000,20.0,40.0,0.6153586643900881
281,grid,0.7277933410366155,0.001,0.1,0.1,2000,0.1,0.2,0.7277933410366155
282,grid,0.6581918279447293,0.001,0.1,0.1,2000,0.5,1.0,0.6581918279447293
283,grid,0.6186455985137862,0.001,0.1,0.1,2000,1.0,2.0,0.6186455985137862
284,grid,0.5964281213877802,0.001,0.1,0.1,2000,5.0,10.0,0.5964281213877802
285,grid,0.5964281213877802,0.001,0.1,0.1,2000,20.0,40.0,0.5964281213877802
286,grid,0.7665888077766017,0.001,1.0,0.1,2000,0.1,0.2,0.7665888077766017
287,grid,0.6452299819547292,0.001,1.0,0.1,2000,0.5,1.0,0.6452299819547292
288,grid,0.6347308867028293,0.001,1.0,0.1,2000,1.0,2.0,0.6347308867028293
289,grid,0.5692277162224352,0.001,1.0,0.1,2000,5.0,10.0,0.5692277162224352
290,grid,0.5871967999705352,0.001,1.0,0.1,2000,20.0,40.0,0.5871967999705352
291,grid,0.7665888077766017,0.001,10.0,0.1,2000,0.1,0.2,0.7665888077766017
292,grid,0.7665888077766017,0.001,10.0,0.1,2000,0.5,1.0,0.7665888077766017
